text	result	texPattern	valuePattern	form
this year's third quarter	2121-Q3	THIS TIME_UNIT:$0 's ORD:$1 TIME_UNIT:$2	Action:Equal TimeUnit:$0 Action:BasicModify Value:$1 TimeUnit:$2	POINT
next year's first quarter	2122-Q1	NEXT TIME_UNIT:$0 's ORD:$1 TIME_UNIT:$2	Action:ToNext TimeUnit:$0 Action:BasicModify Value:$1 TimeUnit:$2	POINT
last year's first quarter	2120-Q1	LAST TIME_UNIT:$0 's ORD:$1 TIME_UNIT:$2	Action:ToLast TimeUnit:$0 Action:BasicModify Value:$1 TimeUnit:$2	POINT
the year - earlier first half	2120-H1	the year - earlier ORD:$0 TIME_UNIT:$1	Action:ToLast TimeUnit:Year Action:BasicModify Value:$0 TimeUnit:$1	POINT
the year - ago first half	2120-H1	the year - ago ORD:$0 TIME_UNIT:$1	Action:ToLast TimeUnit:Year Action:BasicModify Value:$0 TimeUnit:$1	POINT
second half of this year	2121-H2	ORD:$0 TIME_UNIT:$1 of THIS year	Action:BasicModify Value:$0 TimeUnit:$1	POINT
the second half of this year	2121-H2	the ORD:$0 TIME_UNIT:$1 of THIS year	Action:BasicModify Value:$0 TimeUnit:$1	POINT
second half of next year	2122-H2	ORD:$1 TIME_UNIT:$2 of NEXT TIME_UNIT:$0	Action:ToNext TimeUnit:$0 Action:BasicModify Value:$1 TimeUnit:$2	POINT
the second half of next year	2122-H2	the ORD:$1 TIME_UNIT:$2 of NEXT TIME_UNIT:$0	Action:ToNext TimeUnit:$0 Action:BasicModify Value:$1 TimeUnit:$2	POINT
second half of last year	2120-H2	ORD:$1 TIME_UNIT:$2 of LAST TIME_UNIT:$0	Action:ToLast TimeUnit:$0 Action:BasicModify Value:$1 TimeUnit:$2	POINT
the second half of last year	2120-H2	the ORD:$1 TIME_UNIT:$2 of LAST TIME_UNIT:$0	Action:ToLast TimeUnit:$0 Action:BasicModify Value:$1 TimeUnit:$2	POINT
###	year granularity
###	date_r12
